identificador,nome,miniatura,resumo,disciplina,ano,descritores,linkdown,visualizar,tema,origem,autores,idioma,data
10,Vogais,recursos/img/Portugues/vogais.png,"O recurso ""Vogais” trabalha com a formação de palavras, por meio da relação entre imagem e decodificação das vogais junto às palavras.",Portugues,1,DPI02;DPI03;DPI04;DPI05;DPI06;DPII18;DPII19,recursos/recurso/portugues/1/vogais.rar,recursos/recurso/portugues/1/vogais.swf,Formação de palavras;Estudo das vogais;Relação palavra e imagem.,Alfabetizando Iara Medeiros/ Instituto Estadual de Educação de MG,,Português,2011
11,Brincando com as vogais,recursos/img/Portugues/brincandocomasvogais2.png,"O recurso “Brincando com as vogais” trabalha com a formação de palavras, a partir das vogais e da relação com diversas imagens.",Portugues,1,DPI02;DPI03;DPI04;DPI05;DPI06;DPII18;DPII19,recursos/recurso/portugues/1/brincandocomasvogais2.rar,recursos/recurso/portugues/1/brincandocomasvogais2.swf,Formação de palavras;Estudo das vogais;Relação palavra e imagem.,Alfabetizando Iara Medeiros/ Instituto Estadual de Educação de MG,,Português,Desconhecida
12,O Ursinho Pooh e as vogais,recursos/img/Portugues/oursinhopooheasvogais.png,"O recurso ""O Ursinho Pooh e as vogais” trabalha com a formação de palavras, a partir das vogais e da relação entre palavra e imagem.",Portugues,1,DPI02;DPI03;DPI04;DPI05;DPI06;DPII018;DPII19,recursos/recurso/portugues/1/oursinhopooheasvogais.rar,recursos/recurso/portugues/1/oursinhopooheasvogais.swf,Formação de palavras;Estudo das vogais;Relação entre palavra e imagem.,Alfabetizando Iara Medeiros/ Instituto Estadual de Educação de MG,,Português,2007
13,Jogo do alfabeto,recursos/img/Portugues/jogodoalfabeto.png,"O recurso ""Jogo do alfabeto” aborda a relação entre imagem e palavra, a partir da correlação entre a letra inicial de cada palavra às suas respectivas imagens e pronúncias.",Portugues,1,DPI03;DPI04;DPI05;DPI06;DPII18;DPII19,recursos/recurso/portugues/1/jogodoalfabeto.rar,recursos/recurso/portugues/1/jogodoalfabeto.swf,Estudo do alfabeto;Relação imagem e palavra.,Alfabetizando Iara Medeiros/ Instituto Estadual de Educação de MG,,Português,2013
14,Seu alfabeto - Parte I,recursos/img/Portugues/seualfabetoparte1.png,"O recurso ""Seu alfabeto” trabalha com a identificação de palavras, por meio da relação correta de imagens, de sua respectiva letra inicial e de sua pronúncia.",Portugues,1,DPI03;DPI04;DPI05;DPI06;DPII18;DPII19,recursos/recurso/portugues/1/seualfabetoparte1.rar,recursos/recurso/portugues/1/seualfabetoparte1.swf,Estudo do alfabeto;Identificação de palavras;Relação palavra e imagem.,Alfabetizando Iara Medeiros/Instituto Estadual de Educação de MG,,Português,2014
15,Fonemas,recursos/img/Portugues/fonemas.png,"O recurso ""Fonemas” trabalha com a identificação e a formação de palavras que iniciam com a letra -f, a partir da unidade fonema e de suas respectivas sílabas.",Portugues,1,DPI02;DPI03;DPI04;DPI05;DPI06;DPII18;DPII19,recursos/recurso/portugues/1/fonemas.rar,recursos/recurso/portugues/1/fonemas.swf,Estudo dos fonemas;Identificação de palavras com a letra -f;Formação de palavras com a letra -f.,Alfabetizando Iara Medeiros/Instituto Estadual de Educação de MG,,Português,2012
16,Jogo das sílabas,recursos/img/Portugues/jogodassilabas.png,"O recurso ""Jogo das sílabas” trabalha com a identificação e a formação de palavras, a partir da unidade sílaba e de suas respectivas imagens.",Portugues,1,DPI02;DPI03;DPI04;DPI05;DPI06;DPII18;DPII19,recursos/recurso/portugues/1/jogodassilabas.rar,recursos/recurso/portugues/1/jogodassilabas.swf,Estudo das sílabas;Identificação e formação de palavras.,Alfabetizando Iara Medeiros/Instituto Estadual de Educação de MG,,Português,Desconhecida
17,Jogo da letra M,recursos/img/Portugues/jogodaletram.png,"O recurso ""Jogo da letra M” aborda a formação de palavras que utilizam a letra -m, por meio da relação entre som e imagem, além da formação de frases em diferentes níveis de complexidade, com a utilização de recursos musicais.",Portugues,1,DPI02;DPI03;DPI04;DPI05;DPI06;DPI07;DPII18;DPII19,recursos/recurso/portugues/1/jogodaletram.rar,recursos/recurso/portugues/1/jogodaletram.swf,Estudo da letra -m;Formação de palavras;Formação de frases.,Alfabetizando Iara Medeiros/Instituto Estadual de Educação de MG,,Português,2012
18,Jogo da letra V,recursos/img/Portugues/jogodaletrav.png,"O recurso ""Jogo da letra V” trabalha com a identificação e a escrita de palavras que utilizam a letra -v como sua letra inicial, por meio da relação entre imagem e palavra.",Portugues,1,DPI03;DPI04;DPI05;DPI06;DPII18;DPII19,recursos/recurso/portugues/1/jogodaletrav.rar,recursos/recurso/portugues/1/jogodaletrav.swf,Estudo da letra -v;Identificação e escrita de palavras com a letra -m.,Alfabetizando Iara Medeiros/Instituto Estadual de Educação de MG,,Português,2012
19,Histórias Fantásticas,recursos/img/Portugues/historiasfantasticas.png,"O recurso ""Histórias Fantásticas"" busca estimular as produções textuais dos alunos através da relação imagem-texto, de maneira autônoma e criativa da escrita de histórias.",Portugues,2,DPI01;DPI07,recursos/recurso/portugues/2/historiasfantasticas.rar,recursos/recurso/portugues/2/historiasfantasticas.swf,Produção textual,Proativa,,Português,2009
20,Viagem Espacial,recursos/img/Portugues/viagemespacial.png,"O recurso ""Viagem espacial"" trabalha com a codificação e a decodificação do código escrito, de nível pré-silábico, silábico e alfabético. As personagens propõem a realização de atividades/desafios, inicialmente em um período pré-viagem e, posteriormente, em três “planetas”.",Portugues,2,DPI01;DPI02;DPI03;DPI04;DPI06;DPI07;DPI08;DPII19,recursos/recurso/portugues/2/viagemespacial.rar,recursos/recurso/portugues/2/viagemespacial.swf,Codificação e decodificação do alfabeto,Portal do Professor,,Português,2009
21,Famosa a qualquer preço,recursos/img/Portugues/famosaaqualquerpreco.png,"O recurso ""Famosa a qualquer preço"" é um conto infantil da série Livros Animados Zuzubalândia, que tem como enredo a busca de “Zuzu” por ser uma famosa cantora, levando-a a assinar um contrato com a bruxa “Anoréxica”, para que sua voz ficasse belíssima. Entretanto, isso acarretou muitos malefícios aos seus amigos, os quais Zuzu prontamente ajudou em troca da fama.",Portugues,2,DPI01;DPI03;DPI05;DPI06;DPI07;DPI08;DPI10;DPI13,recursos/recurso/portugues/2/famosaqualquerpreco.rar,recursos/recurso/portugues/2/famosaaqualquerpreco.swf,História infantil,Portal do Professor,,Português,2009
22,Livro animado de Zuzubalândia,recursos/img/Portugues/livroanimado.png,"O recurso ""Livro animado de Zuzubalândia"" busca estimular o gosto e o interesse do público infantil pela leitura, enriquecendo o vocabulário, estimulando o imaginário, o raciocínio e a percepção individual, contribuindo, assim, para o processo de crescimento cultural dos alunos.",Portugues,2,DPI01;DPI03;DPI05;DPI06;DPI07;DPI08;DPI10;DPI13,recursos/recurso/portugues/2/livroanimadodezuzubalandia.rar,recursos/recurso/portugues/2/livroanimadodezuzubalandia.swf,História infantil,Portal do Professor,,Português,2009
23,Zuzu em São Paulo,recursos/img/Portugues/zuzuemsaopaulo.png,"O recurso “Zuzu em São Paulo” é um conto infantil da série Livros Animados Zuzubalândia, que tem como enredo o período que Zuzu passa em São Paulo, buscando fama como cantora, mesmo percebendo que sua carreira não vai nada bem. Mas, com a ajuda de amigos e da verdade, ela consegue seu sucesso tão desejado.",Portugues,2,DPI01;DPI03;DPI05;DPI06;DPI07;DPI08;DPI10;DPI13,recursos/recurso/portugues/2/zuzuemsaopaulo.rar,recursos/recurso/portugues/2/zuzuemsaopaulo/livro_sp.html,História infantil,Portal do Professor,,Português,2009
24,Para onde vai o pensamento?,recursos/img/Portugues/paraondevaiopensamento.png,"O recurso ""Para onde vai o pensamento"" trata-se de um conto ilustrado que narra o sucinto percurso de um homem durante seu dia, no qual ele passa por vários lugares e consegue lembrar-se de sua infância, fato que lhe faz muito feliz e renovado. O conto em questão busca despertar o interesse em construir histórias de forma criativa.",Portugues,2,DPI01;DPI03;DPI05;DPI06;DPI07;DPI08;DPI10;DPI13,recursos/recurso/portugues/2/praondevaiopensamento.rar,recursos/recurso/portugues/2/praondevaiopensamento.swf,Conto ilustrado,Portal do Professor,,Português,2009
25,Brincando e associando,recursos/img/Portugues/brincandoeassociando.png,"O recurso ""Brincando e associando"" trabalha com a associação da letra apresentada à palavra, de acordo com sua letra inicial.",Portugues,2,DPI01;DPI03;DPI05,recursos/recurso/portugues/2/brincandoeassociando.rar,recursos/recurso/portugues/2/brincandoeassociando.swf,Identificação de palavras;Correlação entre imagens e palavras,Núcleo de Desenvolvimento de Objetos de Aprendizagem Significativa (NOAS),,Português,Desconhecida
26,Uma arara e sete papagaios,recursos/img/Portugues/umaararaesetepapagaios.png,"O recurso “Uma arara e sete papagaios” é um conto infantil narrado, da Coleção Mico Maneco, que conta a história de uma linda arara que foi encontrada na mata por um menino chamado Poti e que a levou para a taba, em sua tribo. Mas, a arara não parava de repetir “Arara, arara!”, incomodando muito a todos. Certo dia, ela foi devolvida para a mata, onde era o seu lar.",Portugues,2,DPI01;DPI07,recursos/recurso/portugues/2/umaararaesetepapagaios.rar,recursos/recurso/portugues/2/umaararaesetepapagaios.wma,Linguagem oral;Linguagem escrita;Gênero Narrativo.,Portal do Professor,,Português,2009
27,"Amigos, mas nem tanto",recursos/img/Portugues/amigomasnemtanto.png,"O recurso “Amigos, mas nem tanto” é um conto infantil narrado, da Coleção Dó-ré-mi-fá, que conta a história de dois cachorros: Dondo, bonito e forte;e Mugui, fraquinho e feio. Os dois tinham atitudes diferentes, por conta do porte físico, mas quando ficaram frente a frente agiram com igualdade.",Portugues,2,DPI01;DPI07,recursos/recurso/portugues/2/amigomasnemtanto.rar,recursos/recurso/portugues/2/amigosmasnemtanto.mp3,Linguagem oral;Linguagem escrita;Gênero Narrativo.,Portal do Professor,,Português,2010
28,A festa encrencada,recursos/img/Portugues/afestaencrencada.png,"O recurso “A festa encrencada” é um conto infantil narrado, da Coleção Estrelinha, e conta a história de uma floresta que estava muito triste, então os animais decidiram fazer uma festa bem animada, para a qual todos foram convidados. Entretanto, o dragão não foi e, com raiva, estragou tudo.",Portugues,2,DPI01;DPI07,recursos/recurso/portugues/2/afestaencrencada.rar,recursos/recurso/portugues/2/afestaencrencada.mp3,Linguagem oral;Linguagem escrita;Gênero Narrativo.,Portal do Professor,,Português,2009
29,O rato de chapéu,recursos/img/Portugues/oratodechapeu.png,"O recurso “O rato de chapéu” é um conto infantil narrado que conta a história de um rato que tinha um chapéu muito feio e, por isso, era criticado por todos os outros ratos. Certo dia, tal chapéu serviu como abrigo da chuva para todos.",Portugues,2,DPI01;DPI07,recursos/recurso/portugues/2/oratodechapeu.rar,recursos/recurso/portugues/2/oratodechapeu.mp3,Linguagem oral;Linguagem escrita;Gênero Narrativo.,Portal do Professor,,Português,2009
30,Na porta da padaria,recursos/img/Portugues/naportadapadaria.png,"O recurso “Na porta padaria” é um conto infantil em rima, da Coleção Dó-ré-mi-fá, e conta a história de dona Miúda, uma senhora gulosa que, de tanto comer, ficou emperrada na porta da padaria.",Portugues,2,DPI01;DPI07,recursos/recurso/portugues/2/naportadapadaria.rar,recursos/recurso/portugues/2/naportadapadaria.mp3,Linguagem oral;Linguagem escrita;Gênero Narrativo.,Portal do Professor,,Português,2010
31,A bota do bode,recursos/img/Portugues/abotadobode.png,"O recurso “A bota do bode” é um conto infantil narrado, da Coleção Gato e Rato, e conta a história de um bode que encontrou uma bota, colocou-a em uma de suas patas e, assim, ficou muito engraçado. Depois disso, a bota foi passando de animal para animal até servir como casa para os gatos.",Portugues,2,DPI01;DPI07,recursos/recurso/portugues/2/abotadobode.rar,recursos/recurso/portugues/2/abotadobode.mp3,Linguagem oral;Linguagem escrita;Gênero Narrativo.,Portal do Professor,,Português,2009
32,A casa feia,recursos/img/Portugues/acasafeia.png,"O recurso “A casa feia” é um conto infantil que narra a história da casa de um gato que todos criticavam, pois a achavam feia, já que nela faltava algo. Então, o gato sempre acrescentava à casa aquilo que sugeriam, até que um dia todos afirmaram que a casa estava linda.",Portugues,2,DPI01;DPI07,recursos/recurso/portugues/2/acasafeia.rar,recursos/recurso/portugues/2/acasafeia.mp3,Linguagem oral;Linguagem escrita;Gênero Narrativo.,Portal do Professor,,Português,2009
33,Uma gota de mágica,recursos/img/Portugues/umagotademagica.png,"O recurso “Uma gota de mágica” é um conto infantil narrado, da Coleção Mico Maneco, que conta a história de Joana, uma menina que ia, todos os dias, buscar água na bica. Certa vez, ela encontrou uma bola que parecia mágica, mas na verdade era iluminada por vagalumes.",Portugues,2,DPI01;DPI07,recursos/recurso/portugues/2/umagotademagica.rar,recursos/recurso/portugues/2/umagotademagica.wma,Linguagem oral;Linguagem escrita;Gênero Narrativo.,Portal do Professor,,Português,2009
34,Sinônimo e antônimo,recursos/img/Portugues/sinonimoeantonimo.png,"O recurso ""Sinônimo e antônimo"" é um vídeo do Programete Mais Educação e apresenta as regras para utilização de sinônimos e antônimos.",Portugues,3,DPI01;DPI03;DPI12;DPII19,recursos/recurso/portugues/3/sinonimoeantonimo.rar,recursos/recurso/portugues/3/sinonimoeantonimo.avi,Análise linguística;Sinônimos e antônimos.,Portal do Professor,,Português,2008
35,Briga em sala,recursos/img/Portugues/brigasala.png,"O recurso ""Briga em sala"" traz a situação em que dois adolescentes, Pedro e Andréa, discutem em sala de aula pela liderança da turma e disputam pela amizade de Marcos, acreditando que isso os ajudará. O recurso consiste na criação dos diálogos entre as personagens, de forma a evitar uma briga.",Portugues,3,DPI01;DPI02;DPI05;DPI06;DPI07;DPI08;DPII18;DPII19,recursos/recurso/portugues/3/brigasala.rar,recursos/recurso/portugues/3/brigasala.swf,Produção textual,Instituto Anísio Teixeira,,Português,2010
36,Os mistérios de Iara,recursos/img/Portugues/audio.png,"O recurso ""Os mistérios de Iara"" trata-se de uma narração que conta o mito da Iara: mulher belíssima que vive no fundo das águas. O recurso expõe um exemplo de gênero discursivo, o texto narrativo, buscando, através deste, desenvolver a competência textual dos alunos, bem como a prática de escuta e de leitura de textos.",Portugues,3,DPI01;DPI07;DPI09,recursos/recurso/portugues/3/osmisteriosdeiara.rar,recursos/recurso/portugues/3/osmisteriosdeiara.rar,Narração sobre o mito da Iara,Portal do Professor,,Português,2008
37,Substantivos Coletivos,recursos/img/Portugues/substantivoscoletivos.png,"O recurso ""Substantivos coletivos"" trabalha as regras de uso dos substantivos coletivos através de um formato mais dinâmico e contextualizado, fazendo uso de exemplos e analogias objetivas para um aprendizado significativo dos alunos.",Portugues,3,DPI01;DPI12;DPII19,recursos/recurso/portugues/3/substantivoscoletivos.rar,recursos/recurso/portugues/3/substantivoscoletivos.rar,Susbtantivos coletivos,Portal do Professor,,Português,2008
38,Sílaba,recursos/img/Portugues/silaba.png,"O recurso ""Sílaba"" trata-se de um vídeo que apresenta as sílabas e sua classificação de uma forma lúdica e objetiva. No vídeo, são apresentados exemplos do cotidiano dos alunos, facilitando o aprendizado das sílabas.",Portugues,3,DPI01;DPI12;DPII19,recursos/recurso/portugues/3/silaba.rar,recursos/recurso/portugues/3/silaba.rar,Sílabas,Portal do Professor,,Português,2008
39,Adjetivo e substantivo,recursos/img/Portugues/adjetivoesubstantivo.png,"O recurso ""Adjetivo e substantivos"" apresenta as regras de uso corretas dos substantivos e adjetivos, através de um formato mais dinâmico e contextualizado de exposição.",Portugues,3,DPI01;DPI 12;DPII19,recursos/recurso/portugues/3/adjetivoesubstantivo.rar,recursos/recurso/portugues/3/adjetivoesubstantivo.rar,Adjetivos e substantivos,Portal do Professor,,Português,2008
40,Sinais de pontuação,recursos/img/Portugues/sinaisdepontuacao.png,"O recurso ""Sinais de pontuação"" apresenta as regras de uso dos sinais de pontuação de forma clara e objetiva. Ao longo do vídeo, são apresentados exemplos do cotidiano dos alunos para facilitar o aprendizado dos sinais de pontuação.",Portugues,3,DPI01;DPI14,recursos/recurso/portugues/3/sinaisdepontuacao.rar,recursos/recurso/portugues/3/sinaisdepontuacao.rar,Sinais de pontuação,Portal do Professor,,Português,2008
41,Três - vez [Orto e grafia],recursos/img/Portugues/tresvezesortografia.png,"O recurso ""Três - vez [Orto e grafia]” apresenta a pronúncia e a grafia correta de algumas palavras grafadas com '-ez' e '-es', de forma dinâmica e criativa.",Portugues,3,DPI01;DPI03;DPII19,recursos/recurso/portugues/3/tresvezortoegrafia.rar,recursos/recurso/portugues/3/tresvezortoegrafia.rar,Pronúncia e grafia de palavras com -ez e -es,Portal do Professor,,Português,2008
42,Cabra da Peste - Patativa do Assaré,recursos/img/Portugues/cabradapeste.png,"O recurso ""Cabra da Peste - Patativa do Assaré"" traz Antônio Gonçalves da Silva, ou Patativa do Assaré, compositor e improvisador brasileiro, narrando um de seus poemas. O recurso apresenta a literatura de cordel e poesia popular de Patativa do Assaré.",Portugues,3,DPI01;DPI07;DPI09,recursos/recurso/portugues/3/cabradapestepatativadoassare.rar,recursos/recurso/portugues/3/cabradapestepatativadoassare.rar,Literatura de cordel,Governo do Paraná,,Português,2001
43,Achado [Orto e grafia],recursos/img/Portugues/achado.png,"O recurso ""Achado [Orto e grafia]"" utiliza o teatro de bonecos para ensinar a grafia correta de algumas palavras grafadas com -x e com –ch, por meio de uma exposição mais dinâmica e objetiva.",Portugues,3,DPI01;DPI03;DPII19,recursos/recurso/portugues/3/achadoortoegrafia.rar,recursos/recurso/portugues/3/achadoortoegrafia.rar,Grafia correta de palavras com -x e -ch,Portal do Professor,,Português,2008
44,Xi-chuva,recursos/img/Portugues/xichuva.png,"O recurso ""Xi-chuva” é um vídeo do Programa Orto e Grafia, apresentado pela TV Escola, e aborda a ortografia correta e a escolha entre as letras -x e -ch na escrita de algumas palavras.",Portugues,3,DPI01;DPI03;DPII19,recursos/recurso/portugues/3/xichuva.rar,recursos/recurso/portugues/3/xichuva.wmv,Ortografia;Escrita de palavras com as letras -x e -ch.,Portal do Professor,,Português,2008
45,O caracol viajante,recursos/img/Portugues/ocaracolviajante.png,"O recurso “O caracol viajante” é um conto infantil narrado, da Coleção Estrelinha, que conta a história de Rodolfo, um caracol viajante que passa o tempo todo a andar e conquista vários amigos.",Portugues,3,DPI01;DPI07,recursos/recurso/portugues/3/ocaracolviajante.rar,recursos/recurso/portugues/3/ocaracolviajante.mp3,Linguagem oral;Linguagem escrita;Gênero Narrativo.,Portal do Professor,,Português,2009
46,"Jeca, o Tatu",recursos/img/Portugues/jecaotatu.png,"O recurso “Jeca, o Tatu” é um conto infantil narrado, da Coleção Batutinha, que conta a história de Jeca, o Tatu. Ele, quando conversava com os amigos da floresta, nunca tinha nenhuma novidade para contar, até que um dia, ele vive uma grande aventura, conhecendo a cidade grande.",Portugues,3,DPI01;DPI07,recursos/recurso/portugues/3/jecaotatu.rar,recursos/recurso/portugues/3/jecaotatu.mp3,Linguagem oral;Linguagem escrita;Gênero Narrativo;Conto infantil.,Portal do Professor,,Português,2009
47,Troca-troca,recursos/img/Portugues/trocatroca.png,"O recurso “Troca-troca” é um conto infantil narrado, da Coleção Mico Maneco, que conta uma história bem animada sobre o troca-troca de brinquedos sugerido por três amigos: Benedito, Joana e André. Assim, o troca-troca dos brinquedos virou uma mania entre a criançada.",Portugues,3,DPI01;DPI07,recursos/recurso/portugues/3/trocatroca.rar,recursos/recurso/portugues/3/trocatroca.wma,Linguagem oral;Linguagem escrita;Gênero Narrativo;Conto infantil.,Portal do Professor,,Português,2009
48,Remar-rimar,recursos/img/Portugues/remarrimar.png,"O recurso “Remar-rimar” apresenta poesias narradas, da Coleção Dó-ré-mi-fá e, a partir delas, busca incentivar a criatividade e a imaginação para a construção de poesias autorais.",Portugues,3,DPI01;DPI07,recursos/recurso/portugues/3/remarrimar.rar,recursos/recurso/portugues/3/remarrimar.mp3,Linguagem oral;Linguagem escrita;Gênero Narrativo;Poesia.,Portal do Professor,,Português,2009
49,Chapéu de palha,recursos/img/Portugues/chapeudepalha.png,"O recurso “Chapéu de palha” é um conto infantil narrado, da Coleção Gato e Rato, que conta a história do chapéu de Marina, que sempre voava. A partir dessa narração, busca-se despertar a valorização e a construção de contos, por meio da ênfase à imaginação.",Portugues,3,DPI01;DPI07,recursos/recurso/portugues/3/chapeudepalha.rar,recursos/recurso/portugues/3/chapeudepalha.mp3,Linguagem oral;Linguagem escrita;Gênero Narrativo;Conto Infantil.,Portal do Professor,,Português,2009
50,No imenso mar azul,recursos/img/Portugues/noimensomarazul.png,"O recurso “No imenso mar azul” é um conto infantil narrado, da Coleção Mico Maneco, e conta a história de um menino que mergulhou no imenso mar azul e encantou-se com as cores, a vida e a beleza de um peixe palhaço. O peixe observa curioso aquele mergulhador e, a partir desse encontro, menino e peixe aprendem a respeitar e admirar mundos e vidas tão diferentes.",Portugues,3,DPI01;DPI07,recursos/recurso/portugues/3/noimensomarazul.rar,recursos/recurso/portugues/3/noimensomarazul.wma,Linguagem oral;Linguagem escrita;Gênero Narrativo;Conto Infantil.,Portal do Professor,,Português,2011
51,O rato roeu a roupa,recursos/img/Portugues/oratoroeuaroupa.png,"O recurso “O rato roeu a roupa” é um conto infantil narrado, da Coleção Mico Maneco, que conta a história de um rato que estava faminto e começou a roer tudo o que viu pela frente, inclusive, a rica roupa nova do rei de Roma, causando, assim, uma grande confusão.",Portugues,3,DPI01;DPI07,recursos/recurso/portugues/3/oratoroeuaroupa.rar,recursos/recurso/portugues/3/oratoroeuaroupa.wma,Linguagem oral;Linguagem escrita;Gênero Narrativo;Conto Infantil.,Portal do Professor,,Português,2010
52,O macaco medroso,recursos/img/Portugues/omacacomedroso.png,"O recurso “O macaco medroso” é um conto infantil narrado que conta a história do macaco Peteleco que, diferente de todos os macacos, come o tempo todo e fica gordo, sozinho e triste. No entanto, certo dia, ele decide mudar de atitude e conquistar vários amigos.",Portugues,3,DPI01;DPI07,recursos/recurso/portugues/3/omacacomedroso.rar,recursos/recurso/portugues/3/omacacomedroso.mp3,Linguagem oral;Linguagem escrita;Gênero Narrativo;Conto Infantil.,Portal do Professor,,Português,2009
